X,Y
2.9399977,66.690475
2.9499977,66.79515
2.9599977,66.89891
2.9699976,67.001785
2.9799976,67.10374
2.9899976,67.2048
2.9999976,67.304955
3.0099976,67.4042
3.0199976,67.50254
3.0299976,67.599976
3.0399976,67.696495
3.0499976,67.792114
3.0599976,67.88682
3.0699975,67.98061
3.0799975,68.0735
3.0899975,68.16547
3.0999975,68.25653
3.1099975,68.34668
3.1199975,68.435905
3.1299975,68.52422
3.1399975,68.611626
3.1499975,68.698105
3.1599975,68.783676
3.1699975,68.86832
3.1799974,68.95206
3.1899974,69.03487
3.1999974,69.11675
3.2099974,69.19773
3.2199974,69.27778
3.2299974,69.356895
3.2399974,69.435104
3.2499974,69.512375
3.2599974,69.58874
3.2699974,69.66416
3.2799973,69.738655
3.2899973,69.81224
3.2999973,69.88489
3.3099973,69.9566
3.3199973,70.02739
3.3299973,70.097244
3.3399973,70.16617
3.3499973,70.23418
3.3599973,70.30123
3.3699973,70.36738
3.3799973,70.43257
3.3899972,70.496826
3.3999972,70.56016
3.4099972,70.62254
3.4199972,70.68401
3.4299972,70.74452
3.4399972,70.8041
3.4499972,70.86275
3.4599972,70.92045
3.4699972,70.9772
3.4799972,71.03302
3.4899971,71.0879
3.4999971,71.14183
3.5099971,71.194824
3.5199971,71.246864
3.529997,71.29798
3.539997,71.34813
3.549997,71.39733
3.559997,71.4456
3.569997,71.49291
3.579997,71.53928
3.589997,71.584694
3.599997,71.62916
3.609997,71.672676
3.619997,71.71524
3.629997,71.75684
3.639997,71.79751
3.649997,71.83721
3.659997,71.87595
3.669997,71.91376
3.679997,71.95058
3.689997,71.986465
3.699997,72.02139
3.709997,72.05534
3.719997,72.08836
3.729997,72.12041
3.739997,72.15149
3.749997,72.18161
3.759997,72.21076
3.769997,72.23896
3.7799969,72.26619
3.7899969,72.29245
3.7999969,72.317764
3.8099968,72.342094
3.8199968,72.365456
3.8299968,72.38788
3.8399968,72.4093
3.8499968,72.42978
3.8599968,72.44927
3.8699968,72.4678
3.8799968,72.48535
3.8899968,72.50193
3.8999968,72.517555
3.9099967,72.53218
3.9199967,72.54584
3.9299967,72.55854
3.9399967,72.570244
3.9499967,72.58097
3.9599967,72.59073
3.9699967,72.599495
3.9799967,72.60729
3.9899967,72.61413
3.9999967,72.61997
4.009997,72.624825
4.019997,72.62871
4.0299973,72.6316
4.0399976,72.633514
4.049998,72.63443
4.059998,72.63438
4.0699983,72.63334
4.0799985,72.63131
4.0899987,72.628296
4.099999,72.62429
4.109999,72.61931
4.1199994,72.61332
4.1299996,72.606346
4.14,72.59839
4.15,72.58943
4.1600003,72.57948
4.1700006,72.56856
4.180001,72.556625
4.190001,72.54368
4.2000012,72.52976
4.2100015,72.51485
4.2200017,72.498924
4.230002,72.482025
4.240002,72.46411
4.2500024,72.445206
4.2600026,72.42528
4.270003,72.40437
4.280003,72.38246
4.2900033,72.35954
4.3000035,72.33563
4.3100038,72.310715
4.320004,72.28479
4.330004,72.25785
4.3400044,72.22991
4.3500047,72.20098
4.360005,72.17103
4.370005,72.140076
4.3800054,72.108116
4.3900056,72.07514
4.400006,72.041145
4.410006,72.00614
4.4200063,71.97014
4.4300065,71.93311
4.4400067,71.89508
4.450007,71.85603
4.460007,71.81597
4.4700074,71.774895
4.4800076,71.732796
4.490008,71.68969
4.500008,71.64555
4.5100083,71.60041
4.5200086,71.554245
4.530009,71.50705
4.540009,71.45883
4.5500093,71.4096
4.5600095,71.35935
4.5700097,71.308075
4.58001,71.25578
4.59001,71.20247
4.6000104,71.14812
4.6100106,71.09273
4.620011,71.03632
4.630011,70.9789
4.6400113,70.92044
4.6500115,70.86096
4.660012,70.80044
4.670012,70.73889
4.680012,70.6763
4.6900125,70.6127
4.7000127,70.54805
4.710013,70.48238
4.720013,70.41568
4.7300134,70.34792
4.7400136,70.279144
4.750014,70.20931
4.760014,70.13846
4.7700143,70.066574
4.7800145,69.99363
4.7900147,69.91966
4.800015,69.84466
4.810015,69.76859
4.8200154,69.69149
4.8300157,69.61336
4.840016,69.53419
4.850016,69.45396
4.8600163,69.372696
4.8700166,69.290375
4.880017,69.207016
4.890017,69.12259
4.9000173,69.03713
4.9100175,68.95062
4.9200177,68.863075
4.930018,68.774475
4.940018,68.68482
4.9500184,68.594124
4.9600186,68.50235
4.970019,68.40954
4.980019,68.315674
4.9900193,68.22075
5.0000196,68.12478
5.01002,68.02775
5.02002,67.92966
5.03002,67.83049
5.0400205,67.73029
5.0500207,67.62903
5.060021,67.5267
5.070021,67.42334
5.0800214,67.31889
5.0900216,67.21338
5.100022,67.1068
5.110022,66.99916
5.1200223,66.890465
5.1300225,66.7807
5.1400228,66.669876
5.150023,66.55799
5.160023,66.44502
5.1700234,66.33096
5.1800237,66.21588
5.190024,66.099724
5.200024,65.98248
5.2100244,65.86418
5.2200246,65.7448
5.230025,65.62434
5.240025,65.50279
5.2500253,65.38019
5.2600255,65.25651
5.2700257,65.13176
5.280026,65.005936
5.290026,64.87903
5.3000264,64.751045
5.3100266,64.62198
5.320027,64.491844
5.330027,64.36062
5.3400273,64.22832
5.3500276,64.094925
5.360028,63.960472
5.370028,63.824924
5.3800282,63.688263
5.3900285,63.55056
5.4000287,63.41176
5.410029,63.27187
5.420029,63.130894
5.4300294,62.988842
5.4400296,62.845688
5.45003,62.701424
5.46003,62.55611
5.4700303,62.40969
5.4800305,62.26216
5.490031,62.11357
5.500031,61.963875
5.510031,61.81308
5.5200315,61.66117
5.5300317,61.50821
5.540032,61.354134
5.550032,61.198967
5.5600324,61.042694
5.5700326,60.885326
5.580033,60.72686
5.590033,60.567284
5.6000333,60.406624
5.6100335,60.244858
5.6200337,60.081978
5.630034,59.918022
5.640034,59.752945
5.6500344,59.586754
5.6600347,59.419456
5.670035,59.25109
5.680035,59.081577
5.6900353,58.91098
5.7000356,58.739273
5.710036,58.566452
5.720036,58.392525
5.7300363,58.21747
5.7400365,58.04132
5.7500367,57.86406
5.760037,57.685696
5.770037,57.50621
5.7800374,57.325615
5.7900376,57.1439
5.800038,56.961052
5.810038,56.77711
5.8200383,56.59205
5.8300385,56.405876
5.840039,56.218582
5.850039,56.03015
5.860039,55.840614
5.8700395,55.64994
5.8800397,55.458168
5.89004,55.265266
5.90004,55.07125
5.9100404,54.87611
5.9200406,54.67984
5.930041,54.48243
5.940041,54.283905
5.9500413,54.084263
5.9600415,53.883476
5.9700418,53.681564
5.980042,53.47854
5.990042,53.274376
6.0000424,53.06909
6.0100427,52.86264
6.020043,52.655098
6.030043,52.446415
6.0400434,52.236588
6.0500436,52.02564
6.060044,51.81355
6.070044,51.60031
6.0800443,51.38593
6.0900445,51.17044
6.1000447,50.95381
6.110045,50.73603
6.120045,50.51712
6.1300454,50.29706
6.1400456,50.075867
6.150046,49.853508
6.160046,49.63004
6.1700463,49.405422
6.1800466,49.17965
6.190047,48.95275
6.200047,48.724678
6.2100472,48.495472
6.2200475,48.265106
6.2300477,48.033623
6.240048,47.800964
6.250048,47.567184
6.2600484,47.332253
6.2700486,47.096157
6.280049,46.85891
6.290049,46.62049
6.3000493,46.38094
6.3100495,46.14024
6.32005,45.89838
6.33005,45.65538
6.34005,45.411194
6.3500504,45.165863
6.3600507,44.91937
6.370051,44.671738
6.380051,44.422943
6.3900514,44.172985
6.4000516,43.92188
6.410052,43.669586
6.420052,43.416138
6.4300523,43.16152
6.4400525,42.90576
6.4500527,42.648808
6.460053,42.390724
6.470053,42.131462
6.4800534,41.871033
6.4900537,41.60942
6.500054,41.346672
6.510054,41.08272
6.5200543,40.81763
6.5300546,40.551346
6.540055,40.283913
6.550055,40.01529
6.5600553,39.745514
6.5700555,39.474525
6.5800557,39.202423
6.590056,38.929085
6.600056,38.654633
6.6100564,38.378956
6.6200566,38.102142
6.630057,37.824097
6.640057,37.544907
6.6500573,37.264523
6.6600575,36.98298
6.670058,36.70022
6.680058,36.41635
6.690058,36.13125
6.7000585,35.844955
6.7100587,35.557484
6.720059,35.26886
6.730059,34.979004
6.7400594,34.68799
6.7500596,34.39579
6.76006,34.102406
6.77006,33.80781
6.7800603,33.51203
6.7900605,33.21508
6.8000607,32.91696
6.810061,32.6176
6.820061,32.3171
6.8300614,32.015343
6.8400617,31.71244
6.850062,31.40829
6.860062,31.10302
6.8700624,30.796486
6.8800626,30.488825
6.890063,30.179905
6.900063,29.869837
6.9100633,29.55852
6.9200635,29.246037
6.9300637,28.932356
6.940064,28.61746
6.950064,28.301357
6.9600644,27.984081
6.9700646,27.66558
6.980065,27.345854
6.990065,27.024956
7.0000653,26.702852
7.0100656,26.379517
7.020066,26.054998
7.030066,25.729275
7.0400662,25.40236
7.0500665,25.074167
7.0600667,24.744831
7.070067,24.414244
7.080067,24.082476
7.0900674,23.74946
7.1000676,23.415293
7.110068,23.07984
7.120068,22.74321
7.1300683,22.40534
7.1400685,22.066301
7.1500688,21.72602
7.160069,21.384514
7.170069,21.041805
7.1800694,20.69787
7.1900697,20.35272
7.20007,20.006325
7.21007,19.65874
7.2200704,19.309906
7.2300706,18.95986
7.240071,18.60862
7.250071,18.256115
7.2600713,17.90238
7.2700715,17.547438
7.2800717,17.19131
7.290072,16.833895
7.300072,16.475313
7.3100724,16.11543
7.3200727,15.754368
7.330073,15.392052
7.340073,15.028526
7.3500733,14.663736
7.3600736,14.297739
7.370074,13.930483
7.380074,13.562042
7.3900743,13.192352
7.4000745,12.821409
7.4100747,12.44923
7.420075,12.075829
7.430075,11.701155
7.4400754,11.325249
7.4500756,10.94812
7.460076,10.569738
7.470076,10.190157
7.4800763,9.809305
7.4900765,9.4271965
7.500077,9.043871
7.510077,8.659306
7.520077,8.273512
7.5300775,7.8864
7.5400777,7.4981174
7.550078,7.108528
7.560078,6.717766
7.5700784,6.3256855
7.5800786,5.9323654
7.590079,5.5378113
7.600079,5.142027
7.6100793,4.7449417
7.6200795,4.3466644
7.6300797,3.947092
7.64008,3.5462856
7.65008,3.1442356
7.6600804,2.7409153
7.6700807,2.3363285
7.680081,1.9304924
7.690081,1.5234051
7.7000813,1.1150703
7.7100816,0.70544624
7.720082,0.2945671
7.730082,-0.117565155
