time,Z
0.0,0.0
0.01,0.27761844
0.02,0.55425584
0.03,0.8299121
0.04,1.1045877
0.049999997,1.3782821
0.059999995,1.6509954
0.06999999,1.9227276
0.07999999,2.1934788
0.08999999,2.4632494
0.09999999,2.7320387
0.109999985,2.999847
0.11999998,3.2666745
0.12999998,3.532521
0.13999999,3.7973862
0.14999999,4.0612707
0.16,4.324175
0.17,4.5860972
0.18,4.8470383
0.19000001,5.106999
0.20000002,5.3659787
0.21000002,5.623977
0.22000003,5.880995
0.23000003,6.1370316
0.24000004,6.392087
0.25000003,6.646161
0.26000002,6.899254
0.27,7.151366
0.28,7.4024973
0.29,7.652647
0.29999998,7.9018164
0.30999997,8.150004
0.31999996,8.397212
0.32999995,8.643439
0.33999994,8.888684
0.34999993,9.132948
0.35999992,9.376231
0.36999992,9.618533
0.3799999,9.859855
0.3899999,10.100195
0.3999999,10.339554
0.40999988,10.577932
0.41999987,10.81533
0.42999986,11.051745
0.43999985,11.28718
0.44999984,11.521634
0.45999983,11.755108
0.46999982,11.987601
0.4799998,12.2191105
0.4899998,12.449642
0.4999998,12.67919
0.5099998,12.90776
0.5199998,13.135347
0.5299998,13.361953
0.5399998,13.587578
0.5499998,13.8122225
0.55999976,14.035887
0.56999975,14.258567
0.57999974,14.48027
0.58999974,14.700988
0.5999997,14.920729
0.6099997,15.139487
0.6199997,15.357264
0.6299997,15.574061
0.6399997,15.789875
0.6499997,16.004711
0.65999967,16.218563
0.66999966,16.431435
0.67999965,16.643326
0.68999964,16.854237
0.69999963,17.064165
0.7099996,17.273113
0.7199996,17.481081
0.7299996,17.688068
0.7399996,17.894073
0.7499996,18.099098
0.7599996,18.30314
0.76999956,18.506203
0.77999955,18.708286
0.78999954,18.909386
0.79999954,19.109505
0.8099995,19.308643
0.8199995,19.5068
0.8299995,19.703976
0.8399995,19.900171
0.8499995,20.095387
0.8599995,20.28962
0.86999947,20.482868
0.87999946,20.675142
0.88999945,20.866432
0.89999944,21.056742
0.90999943,21.24607
0.9199994,21.434418
0.9299994,21.621784
0.9399994,21.808167
0.9499994,21.993572
0.9599994,22.177996
0.9699994,22.361439
0.97999936,22.543901
0.98999935,22.72538
0.99999934,22.90588
1.0099994,23.085398
1.0199994,23.263935
1.0299994,23.44149
1.0399994,23.618069
1.0499994,23.793661
1.0599993,23.968275
1.0699993,24.141907
1.0799993,24.31456
1.0899993,24.486229
1.0999993,24.656918
1.1099993,24.826626
1.1199993,24.995354
1.1299993,25.1631
1.1399993,25.329865
1.1499993,25.495651
1.1599993,25.660454
1.1699992,25.824274
1.1799992,25.987118
1.1899992,26.14898
1.1999992,26.309856
1.2099992,26.469755
1.2199992,26.62867
1.2299992,26.78661
1.2399992,26.943562
1.2499992,27.099539
1.2599992,27.254532
1.2699991,27.408546
1.2799991,27.561575
1.2899991,27.713625
1.2999991,27.864693
1.3099991,28.014782
1.3199991,28.163889
1.3299991,28.312017
1.3399991,28.459164
1.3499991,28.605328
1.3599991,28.75051
1.369999,28.894709
1.379999,29.037937
1.389999,29.180176
1.399999,29.321436
1.409999,29.46171
1.419999,29.60101
1.429999,29.739326
1.439999,29.876661
1.449999,30.013014
1.459999,30.148392
1.469999,30.28278
1.479999,30.416193
1.4899989,30.54862
