time,Z
1.4999989,30.680073
1.5099989,30.81054
1.5199989,30.940027
1.5299989,31.068537
1.5399989,31.19606
1.5499989,31.322605
1.5599989,31.448168
1.5699989,31.572752
1.5799989,31.696354
1.5899988,31.81897
1.5999988,31.94061
1.6099988,32.06127
1.6199988,32.180946
1.6299988,32.29964
1.6399988,32.41736
1.6499988,32.534096
1.6599988,32.64985
1.6699988,32.764618
1.6799988,32.87841
1.6899987,32.99122
1.6999987,33.10305
1.7099987,33.213898
1.7199987,33.32377
1.7299987,33.432655
1.7399987,33.540558
1.7499987,33.64748
1.7599987,33.753433
1.7699987,33.85839
1.7799987,33.96237
1.7899987,34.06537
1.7999986,34.16739
1.8099986,34.268425
1.8199986,34.36849
1.8299986,34.46756
1.8399986,34.56566
1.8499986,34.662766
1.8599986,34.758904
1.8699986,34.85406
1.8799986,34.948227
1.8899986,35.04142
1.8999985,35.133633
1.9099985,35.224854
1.9199985,35.31511
1.9299985,35.404373
1.9399985,35.492657
1.9499985,35.579964
1.9599985,35.666283
1.9699985,35.751625
1.9799985,35.83599
1.9899985,35.919365
1.9999985,36.00177
2.0099986,36.08319
2.0199986,36.163628
2.0299985,36.24308
2.0399985,36.321556
2.0499985,36.399055
2.0599985,36.475567
2.0699985,36.5511
2.0799985,36.625652
2.0899985,36.69922
2.0999985,36.771812
2.1099985,36.84342
2.1199985,36.914047
2.1299984,36.983696
2.1399984,37.052357
2.1499984,37.12004
2.1599984,37.18675
2.1699984,37.252464
2.1799984,37.317207
2.1899984,37.380974
2.1999984,37.44375
2.2099984,37.505554
2.2199984,37.566364
2.2299984,37.6262
2.2399983,37.685062
2.2499983,37.742928
2.2599983,37.799828
2.2699983,37.85574
2.2799983,37.910667
2.2899983,37.964622
2.2999983,38.01759
2.3099983,38.06958
2.3199983,38.120586
2.3299983,38.17061
2.3399982,38.219658
2.3499982,38.267727
2.3599982,38.314804
2.3699982,38.36091
2.3799982,38.406033
2.3899982,38.450172
2.3999982,38.493332
2.4099982,38.535507
2.4199982,38.576706
2.4299982,38.616924
2.4399981,38.65616
2.4499981,38.694412
2.4599981,38.73169
2.4699981,38.76798
2.479998,38.80329
2.489998,38.837616
2.499998,38.87097
2.509998,38.90334
2.519998,38.934723
2.529998,38.965134
2.539998,38.994564
2.549998,39.023003
2.559998,39.050465
2.569998,39.076958
2.579998,39.102448
2.589998,39.126976
2.599998,39.15051
2.609998,39.173073
2.619998,39.194653
2.629998,39.21524
2.639998,39.23486
2.649998,39.253494
2.659998,39.27115
2.669998,39.287823
2.679998,39.30351
2.689998,39.318222
2.699998,39.331955
2.709998,39.344696
2.719998,39.35647
2.7299979,39.367256
2.7399979,39.37706
2.7499979,39.385887
2.7599978,39.39373
2.7699978,39.40059
2.7799978,39.406475
2.7899978,39.41137
2.7999978,39.41529
2.8099978,39.418236
2.8199978,39.42019
2.8299978,39.421165
2.8399978,39.42116
2.8499978,39.420174
2.8599977,39.418213
2.8699977,39.41526
2.8799977,39.41133
2.8899977,39.406425
2.8999977,39.400528
2.9099977,39.39366
2.9199977,39.385815
2.9299977,39.376976
2.9399977,39.367165
2.9499977,39.356373
2.9599977,39.34459
2.9699976,39.33184
2.9799976,39.318092
2.9899976,39.303375
2.9999976,39.287678
3.0099976,39.27099
3.0199976,39.253334
3.0299976,39.23469
3.0399976,39.21506
3.0499976,39.194458
3.0599976,39.17287
3.0699975,39.150307
3.0799975,39.12676
3.0899975,39.102226
3.0999975,39.07672
3.1099975,39.05023
3.1199975,39.02275
3.1299975,38.9943
3.1399975,38.96487
3.1499975,38.934452
3.1599975,38.903057
3.1699975,38.870674
3.1799974,38.837322
3.1899974,38.802982
3.1999974,38.76766
3.2099974,38.73136
3.2199974,38.69408
3.2299974,38.65581
3.2399974,38.61657
3.2499974,38.57634
3.2599974,38.535137
3.2699974,38.492954
3.2799973,38.449776
3.2899973,38.405632
3.2999973,38.360508
3.3099973,38.314384
3.3199973,38.267296
3.3299973,38.21923
3.3399973,38.170174
3.3499973,38.120136
3.3599973,38.069115
3.3699973,38.01712
3.3799973,37.964146
3.3899972,37.910183
3.3999972,37.855244
3.4099972,37.799324
3.4199972,37.74242
3.4299972,37.68454
3.4399972,37.62567
3.4499972,37.565826
3.4599972,37.505005
3.4699972,37.443195
3.4799972,37.3804
3.4899971,37.316643
3.4999971,37.251884
3.5099971,37.186153
3.5199971,37.119446
3.529997,37.05175
3.539997,36.98308
3.549997,36.913414
3.559997,36.84278
3.569997,36.77117
3.579997,36.698563
3.589997,36.62499
3.599997,36.550434
3.609997,36.474884
3.619997,36.39837
3.629997,36.320858
3.639997,36.24237
3.649997,36.162918
3.659997,36.08246
3.669997,36.001045
3.679997,35.91863
3.689997,35.835236
3.699997,35.750877
3.709997,35.665516
3.719997,35.579193
3.729997,35.491882
3.739997,35.403576
3.749997,35.31431
3.759997,35.22405
3.769997,35.132812
3.7799969,35.04059
3.7899969,34.9474
3.7999969,34.85321
3.8099968,34.75805
3.8199968,34.66191
3.8299968,34.56479
3.8399968,34.466675
3.8499968,34.3676
3.8599968,34.267532
3.8699968,34.166485
3.8799968,34.06446
3.8899968,33.96145
3.8999968,33.857456
3.9099967,33.752487
3.9199967,33.646534
3.9299967,33.539597
3.9399967,33.431694
3.9499967,33.322796
3.9599967,33.212914
3.9699967,33.10205
3.9799967,32.99022
3.9899967,32.877403
3.9999967,32.763603
4.009997,32.64881
4.019997,32.533054
4.0299973,32.416306
4.0399976,32.298576
4.049998,32.179874
4.059998,32.06019
4.0699983,31.939503
4.0799985,31.817856
4.0899987,31.695225
4.099999,31.571608
4.109999,31.447021
4.1199994,31.321453
4.1299996,31.1949
4.14,31.067348
4.15,30.938828
4.1600003,30.809328
4.1700006,30.678852
4.180001,30.547394
4.190001,30.414951
4.2000012,30.28153
4.2100015,30.147114
4.2200017,30.011724
4.230002,29.875366
4.240002,29.738018
4.2500024,29.599693
4.2600026,29.460382
4.270003,29.320099
4.280003,29.178812
4.2900033,29.036556
4.3000035,28.893326
4.3100038,28.749111
4.320004,28.603918
4.330004,28.45774
4.3400044,28.310583
4.3500047,28.162437
4.360005,28.013317
4.370005,27.86322
4.3800054,27.712137
4.3900056,27.560078
4.400006,27.407036
4.410006,27.25301
4.4200063,27.097992
4.4300065,26.942005
4.4400067,26.785032
4.450007,26.627083
4.460007,26.468159
4.4700074,26.308258
4.4800076,26.147366
4.490008,25.985481
4.500008,25.822626
4.5100083,25.658787
4.5200086,25.493973
4.530009,25.328175
4.540009,25.161398
4.5500093,24.99364
4.5600095,24.82488
4.5700097,24.655159
4.58001,24.484463
4.59001,24.31279
4.6000104,24.140123
4.6100106,23.966473
4.620011,23.79185
4.630011,23.61623
4.6400113,23.439636
4.6500115,23.262074
4.660012,23.083517
4.670012,22.903984
4.680012,22.723476
4.6900125,22.541985
4.7000127,22.359493
4.710013,22.176048
4.720013,21.991608
4.7300134,21.806187
4.7400136,21.61979
4.750014,21.432415
4.760014,21.24405
4.7700143,21.054699
4.7800145,20.864372
4.7900147,20.673065
4.800015,20.480785
4.810015,20.287514
4.8200154,20.09327
4.8300157,19.898048
4.840016,19.701828
4.850016,19.504635
4.8600163,19.306465
4.8700166,19.107311
4.880017,18.90718
4.890017,18.706066
4.9000173,18.503967
4.9100175,18.300873
4.9200177,18.09682
4.930018,17.891785
4.940018,17.68576
4.9500184,17.478771
4.9600186,17.27079
4.970019,17.061825
4.980019,16.851868
4.9900193,16.640942
5.0000196,16.429039
5.01002,16.216148
5.02002,16.002277
5.03002,15.78743
5.0400205,15.571598
5.0500207,15.354774
5.060021,15.136978
5.070021,14.918217
5.0800214,14.698463
5.0900216,14.477726
5.100022,14.256012
5.110022,14.033314
5.1200223,13.809616
5.1300225,13.584953
5.1400228,13.359318
5.150023,13.132706
5.160023,12.905098
5.1700234,12.676506
5.1800237,12.446945
5.190024,12.216396
5.200024,11.984871
5.2100244,11.752369
5.2200246,11.518875
5.230025,11.284401
5.240025,11.048958
5.2500253,10.812515
5.2600255,10.575085
5.2700257,10.336693
5.280026,10.097321
5.290026,9.85696
5.3000264,9.615623
5.3100266,9.373325
5.320027,9.13002
5.330027,8.885723
5.3400273,8.640465
5.3500276,8.394211
5.360028,8.146999
5.370028,7.898796
5.3800282,7.649601
5.3900285,7.3994446
5.4000287,7.1482773
5.410029,6.8961525
5.420029,6.643036
5.4300294,6.388958
5.4400296,6.1338882
5.45003,5.8778267
5.46003,5.620804
5.4700303,5.36277
5.4800305,5.1037636
5.490031,4.843796
5.500031,4.5828323
5.510031,4.3209
5.5200315,4.057968
5.5300317,3.7940788
5.540032,3.5291824
5.550032,3.2633247
5.5600324,2.9964752
5.5700326,2.7286453
5.580033,2.4598465
5.590033,2.1900635
5.6000333,1.9192924
5.6100335,1.6475296
5.6200337,1.3747864
5.630034,1.1010857
5.640034,0.8263931
5.6500344,0.5507088
5.6600347,0.2740631
5.670035,-0.0035591125
