X,Y,Z
0.0,0.0,0.0
0.09999999,0.17320506,0.3459197
0.19999997,0.34641013,0.69085836
0.29999995,0.5196152,1.0348159
0.39999995,0.69282025,1.3777927
0.4999999,0.8660253,1.7197883
0.5999999,1.0392303,2.060803
0.69999987,1.2124354,2.4008365
0.79999983,1.3856404,2.739889
0.8999998,1.5588454,3.0779607
0.99999976,1.7320504,3.4150512
1.0999998,1.9052556,3.7511609
1.1999997,2.0784605,4.0862894
1.2999997,2.2516656,4.4204373
1.3999997,2.4248707,4.753604
1.4999998,2.5980759,5.0857897
1.5999998,2.771281,5.416995
1.6999998,2.9444861,5.7472186
1.8,3.1176913,6.0764613
1.9,3.2908967,6.404723
2.0,3.4641018,6.732004
2.1000001,3.637307,7.058304
2.2,3.810512,7.383623
2.3000002,3.9837172,7.7079606
2.4,4.1569223,8.031318
2.5,4.3301272,8.353693
2.6,4.503332,8.675087
2.6999998,4.676537,8.995501
2.7999997,4.849742,9.314933
2.8999996,5.022947,9.633384
2.9999995,5.1961517,9.950854
3.0999994,5.3693566,10.2673435
3.1999993,5.5425615,10.582852
3.2999992,5.7157664,10.897381
3.3999991,5.8889713,11.210927
3.499999,6.062176,11.523492
3.599999,6.235381,11.835076
3.6999989,6.408586,12.145679
3.7999988,6.581791,12.455302
3.8999987,6.754996,12.763944
3.9999986,6.9282007,13.071604
4.0999985,7.1014056,13.3782835
4.1999984,7.2746105,13.683982
4.2999983,7.4478154,13.988699
4.399998,7.6210203,14.292435
4.499998,7.794225,14.59519
4.599998,7.96743,14.896965
4.699998,8.1406355,15.19776
4.799998,8.31384,15.49757
4.8999977,8.487045,15.796403
4.9999976,8.66025,16.094252
5.0999975,8.833455,16.391123
5.1999974,9.00666,16.687012
5.2999973,9.179865,16.981918
5.399997,9.35307,17.275845
5.499997,9.526275,17.56879
5.599997,9.69948,17.860756
5.699997,9.8726845,18.151737
5.799997,10.04589,18.441742
5.8999968,10.219094,18.73076
5.9999967,10.3923,19.018803
6.0999966,10.565504,19.305862
6.1999965,10.738709,19.59194
6.2999964,10.911914,19.877039
6.3999963,11.085119,20.161154
6.499996,11.258324,20.44429
6.599996,11.431529,20.726444
6.699996,11.604733,21.007618
6.799996,11.777939,21.28781
6.899996,11.951143,21.567022
6.9999957,12.124349,21.845251
7.0999956,12.297553,22.122501
7.1999955,12.470758,22.39877
7.2999954,12.643963,22.674057
7.3999953,12.817168,22.948364
7.499995,12.990373,23.22169
7.599995,13.163578,23.494034
7.699995,13.336782,23.765398
7.799995,13.509988,24.035782
7.899995,13.683192,24.305182
7.9999948,13.856398,24.573603
8.099995,14.029602,24.841042
8.199994,14.202807,25.1075
8.299994,14.376012,25.372976
8.399994,14.549217,25.637474
8.499994,14.722422,25.90099
8.599994,14.895627,26.163525
8.699994,15.068832,26.425076
8.7999935,15.242037,26.68565
8.899994,15.415242,26.94524
8.999993,15.588447,27.203852
9.099994,15.761652,27.461481
9.199993,15.934856,27.71813
9.2999935,16.10806,27.973797
9.399993,16.281267,28.228481
9.499993,16.454472,28.48219
9.599993,16.627676,28.734913
9.699993,16.80088,28.986656
9.799993,16.974087,29.237421
9.899993,17.147291,29.487202
9.999992,17.320496,29.736002
10.099993,17.493702,29.983822
10.199993,17.666906,30.23066
10.299993,17.84011,30.476517
10.399993,18.013317,30.721395
10.499992,18.186522,30.96529
10.599993,18.359726,31.208204
10.699992,18.53293,31.450138
10.799993,18.706137,31.691092
10.899992,18.879341,31.931063
10.999992,19.052546,32.17005
11.099992,19.22575,32.408062
11.199992,19.398956,32.645092
11.299992,19.57216,32.881138
11.399992,19.745365,33.116203
11.499991,19.91857,33.350292
11.599992,20.091776,33.583397
11.699991,20.26498,33.815517
11.799992,20.438185,34.04666
11.899991,20.61139,34.276825
11.999991,20.784595,34.506004
12.099991,20.9578,34.734203
12.199991,21.131004,34.96142
12.299991,21.304209,35.18766
12.399991,21.477415,35.412914
12.49999,21.65062,35.63719
12.59999,21.823824,35.860485
12.69999,21.997028,36.0828
12.79999,22.170235,36.30413
12.89999,22.34344,36.524483
12.9999895,22.516644,36.74385
13.09999,22.689848,36.962242
13.199989,22.863054,37.17965
13.29999,23.036259,37.39608
13.399989,23.209463,37.611526
13.4999895,23.382668,37.825993
13.599989,23.555874,38.039474
13.699989,23.729078,38.251976
13.799989,23.902283,38.463505
13.899989,24.075487,38.674046
13.999989,24.248693,38.883606
14.099989,24.421898,39.092182
14.199988,24.595102,39.29978
14.299989,24.768307,39.5064
14.399988,24.941513,39.712036
14.499989,25.114717,39.91669
14.599988,25.287922,40.12037
14.699988,25.461126,40.32306
14.799988,25.634333,40.524773
14.899988,25.807537,40.725502
14.999988,25.980742,40.925255
15.099988,26.153948,41.124023
15.199987,26.327152,41.32181
15.299988,26.500357,41.518623
15.399987,26.673561,41.714447
15.499988,26.846767,41.909294
15.599987,27.019972,42.103157
15.699987,27.193176,42.296043
15.799987,27.36638,42.487946
15.899987,27.539587,42.678864
15.999987,27.712791,42.868805
16.099987,27.885996,43.057766
16.199987,28.0592,43.245743
16.299986,28.232407,43.43274
16.399986,28.405611,43.61876
16.499987,28.578815,43.803795
16.599987,28.75202,43.98785
16.699986,28.925226,44.17092
16.799986,29.09843,44.353012
16.899986,29.271635,44.534126
16.999987,29.44484,44.714256
17.099985,29.618046,44.893406
17.199986,29.79125,45.07158
17.299986,29.964455,45.248764
17.399986,30.13766,45.42497
17.499985,30.310865,45.600193
17.599985,30.48407,45.774445
17.699986,30.657274,45.947704
17.799984,30.830479,46.119987
17.899984,31.003685,46.291286
17.999985,31.17689,46.46161
18.099985,31.350094,46.630947
18.199984,31.523298,46.79931
18.299984,31.696505,46.966682
18.399984,31.869709,47.133083
18.499985,32.042915,47.298492
18.599983,32.216118,47.46293
18.699984,32.389324,47.62639
18.799984,32.562527,47.788857
18.899984,32.735733,47.950348
18.999983,32.90894,48.110863
19.099983,33.08214,48.270386
19.199984,33.25535,48.42894
19.299984,33.428555,48.58651
19.399982,33.601757,48.74309
19.499983,33.774963,48.8987
19.599983,33.948166,49.053318
19.699984,34.121372,49.206966
19.799982,34.29458,49.35963
19.899982,34.46778,49.511307
19.999983,34.640987,49.66201
20.099983,34.814194,49.811733
20.199984,34.9874,49.960472
20.299984,35.160603,50.108227
20.399982,35.33381,50.255005
20.499983,35.507015,50.400803
20.599983,35.680218,50.545616
20.699984,35.853424,50.689453
20.799982,36.02663,50.832306
20.899982,36.199833,50.974174
20.999983,36.37304,51.115067
21.099983,36.54624,51.254974
21.199982,36.719448,51.393906
21.299982,36.892654,51.531853
21.399982,37.065857,51.668816
21.499983,37.239063,51.804802
21.599981,37.41227,51.93981
21.699982,37.585472,52.07383
21.799982,37.75868,52.206875
21.899982,37.93188,52.33894
21.99998,38.105087,52.470016
22.099981,38.278294,52.60012
22.199982,38.451496,52.729233
22.299982,38.624702,52.857372
22.39998,38.79791,52.984535
22.49998,38.97111,53.110703
22.599981,39.144318,53.2359
22.699982,39.31752,53.360115
22.79998,39.490726,53.483345
22.89998,39.663933,53.6056
22.99998,39.837135,53.726868
23.099981,40.01034,53.84716
23.19998,40.183548,53.96647
23.29998,40.35675,54.084793
23.39998,40.529957,54.20214
23.49998,40.70316,54.318512
23.59998,40.876366,54.43389
23.69998,41.049572,54.548298
23.79998,41.222775,54.66172
23.89998,41.39598,54.774162
23.999979,41.569187,54.885624
24.09998,41.74239,54.9961
24.19998,41.915596,55.1056
24.29998,42.0888,55.21412
24.399979,42.262005,55.321655
24.499979,42.43521,55.42821
24.59998,42.608414,55.533787
24.69998,42.78162,55.63838
24.799978,42.954826,55.741993
24.899979,43.12803,55.84462
24.999979,43.301235,55.946274
25.099977,43.474438,56.046944
25.199978,43.647644,56.14663
25.299978,43.82085,56.24534
25.399979,43.994053,56.34307
25.499977,44.16726,56.43981
25.599977,44.340466,56.535576
25.699978,44.513668,56.630367
25.799978,44.686874,56.724163
25.899977,44.860077,56.81699
25.999977,45.033283,56.908825
26.099977,45.20649,56.999687
26.199978,45.379692,57.08957
26.299976,45.5529,57.17846
26.399977,45.726105,57.26638
26.499977,45.899307,57.353317
26.599977,46.072514,57.43927
26.699976,46.245716,57.524246
26.799976,46.418922,57.608234
26.899977,46.59213,57.69125
26.999977,46.76533,57.77328
27.099976,46.938538,57.854324
27.199976,47.111744,57.9344
27.299976,47.284946,58.01349
27.399977,47.458153,58.09159
27.499975,47.63136,58.16872
27.599976,47.80456,58.244865
27.699976,47.977768,58.320026
27.799976,48.15097,58.39421
27.899975,48.324177,58.467407
27.999975,48.497383,58.53963
28.099976,48.670586,58.610874
28.199976,48.843792,58.68113
28.299974,49.017,58.75041
28.399975,49.1902,58.818707
28.499975,49.363407,58.88602
28.599976,49.53661,58.95236
28.699974,49.709816,59.017708
28.799974,49.883022,59.08208
28.899975,50.056225,59.145477
28.999975,50.22943,59.207882
29.099974,50.402637,59.269314
29.199974,50.57584,59.32977
29.299974,50.749046,59.38923
29.399975,50.92225,59.44772
29.499973,51.095455,59.50523
29.599974,51.26866,59.56175
29.699974,51.441864,59.6173
29.799974,51.61507,59.671852
29.899973,51.788277,59.725437
29.999973,51.96148,59.77804
30.099974,52.134686,59.829655
30.199972,52.307888,59.8803
30.299973,52.481094,59.92996
30.399973,52.6543,59.97863
30.499973,52.827503,60.02633
30.599972,53.00071,60.07304
30.699972,53.173916,60.11878
30.799973,53.34712,60.163532
30.899973,53.520325,60.2073
30.999971,53.693527,60.250095
31.099972,53.866734,60.291904
31.199972,54.03994,60.33273
31.299973,54.213142,60.37258
31.399971,54.38635,60.41145
31.499971,54.559555,60.449333
31.599972,54.732758,60.48624
31.699972,54.905964,60.522156
31.79997,55.079166,60.557106
31.899971,55.252373,60.59107
31.999971,55.42558,60.624046
32.09997,55.59878,60.656048
32.19997,55.771988,60.68707
32.299973,55.945194,60.717102
32.39997,56.118397,60.746162
32.49997,56.291603,60.774235
32.59997,56.464806,60.80133
32.69997,56.638012,60.82745
32.79997,56.81122,60.852573
32.89997,56.98442,60.876728
32.99997,57.157627,60.899906
33.09997,57.330833,60.922085
33.19997,57.504036,60.9433
33.29997,57.677242,60.96353
33.39997,57.850445,60.982777
33.49997,58.02365,61.00104
33.599968,58.196857,61.018322
33.69997,58.37006,61.03463
33.79997,58.543266,61.049953
33.89997,58.716473,61.064293
33.99997,58.889675,61.077656
34.099968,59.06288,61.090034
34.19997,59.236084,61.101433
34.29997,59.40929,61.111855
34.399967,59.582497,61.12129
34.49997,59.7557,61.12974
34.599968,59.928905,61.137222
34.69997,60.10211,61.143715
34.79997,60.275314,61.149223
34.899967,60.44852,61.153763
34.99997,60.621727,61.15731
35.099968,60.79493,61.159878
35.199966,60.968136,61.161472
35.29997,61.14134,61.162075
35.399967,61.314545,61.16171
35.499966,61.48775,61.160343
35.599968,61.660954,61.158012
35.699966,61.83416,61.1547
35.79997,62.007366,61.1504
35.899967,62.18057,61.145123
35.999966,62.353775,61.13887
36.099968,62.526978,61.13162
36.199966,62.700184,61.123405
36.299965,62.87339,61.114197
36.399967,63.046593,61.10401
36.499966,63.2198,61.092857
36.599968,63.393005,61.080704
36.699966,63.566208,61.06759
36.799965,63.739414,61.053474
36.899967,63.912617,61.038383
36.999966,64.08582,61.022324
37.099964,64.259026,61.005264
37.199966,64.432236,60.987244
37.299965,64.60544,60.96823
37.399967,64.77864,60.948227
37.499966,64.95185,60.92726
37.599964,65.12505,60.905304
