time,Z
0.0,0.0
0.01,0.07022017
0.02,0.13945934
0.03,0.20771754
0.04,0.2749947
0.049999997,0.34129086
0.059999995,0.40660605
0.06999999,0.4709402
0.07999999,0.53429335
0.08999999,0.59666556
0.09999999,0.65805674
0.109999985,0.7184669
0.11999998,0.77789605
0.12999998,0.8363442
0.13999999,0.8938114
0.14999999,0.95029765
0.16,1.0058028
0.17,1.060327
0.18,1.1138701
0.19000001,1.1664325
0.20000002,1.2180136
0.21000002,1.2686138
0.22000003,1.318233
0.23000003,1.3668714
0.24000004,1.4145284
0.25000003,1.4612046
0.26000002,1.5068996
0.27,1.5516138
0.28,1.595347
0.29,1.6380991
0.29999998,1.6798704
0.30999997,1.7206604
0.31999996,1.7604694
0.32999995,1.7992976
0.33999994,1.8371449
0.34999993,1.874011
0.35999992,1.9098961
0.36999992,1.9448001
0.3799999,1.9787233
0.3899999,2.0116656
0.3999999,2.0436268
0.40999988,2.074607
0.41999987,2.104606
0.42999986,2.133624
0.43999985,2.1616614
0.44999984,2.1887176
0.45999983,2.2147927
0.46999982,2.2398868
0.4799998,2.264
0.4899998,2.2871323
0.4999998,2.3092833
0.5099998,2.3304534
0.5199998,2.3506427
0.5299998,2.3698509
0.5399998,2.3880782
0.5499998,2.4053245
0.55999976,2.4215894
0.56999975,2.436874
0.57999974,2.4511771
0.58999974,2.464499
0.5999997,2.47684
0.6099997,2.4882002
0.6199997,2.4985795
0.6299997,2.507978
0.6399997,2.516395
0.6499997,2.5238314
0.65999967,2.5302866
0.66999966,2.5357609
0.67999965,2.540254
0.68999964,2.543766
0.69999963,2.546297
0.7099996,2.5478475
0.7199996,2.5484166
0.7299996,2.5480049
0.7399996,2.5466123
0.7499996,2.5442383
0.7599996,2.5408838
0.76999956,2.536548
0.77999955,2.5312314
0.78999954,2.524933
0.79999954,2.5176544
0.8099995,2.5093946
0.8199995,2.500154
0.8299995,2.489932
0.8399995,2.4787295
0.8499995,2.4665458
0.8599995,2.453381
0.86999947,2.4392352
0.87999946,2.424108
0.88999945,2.4080005
0.89999944,2.3909118
0.90999943,2.3728423
0.9199994,2.3537912
0.9299994,2.3337593
0.9399994,2.312747
0.9499994,2.2907534
0.9599994,2.2677789
0.9699994,2.2438226
0.97999936,2.2188854
0.98999935,2.192968
0.99999934,2.1660695
1.0099994,2.1381893
1.0199994,2.1093287
1.0299994,2.0794868
1.0399994,2.048664
1.0499994,2.0168605
1.0599993,1.984076
1.0699993,1.9503102
1.0799993,1.9155631
1.0899993,1.8798356
1.0999993,1.8431268
1.1099993,1.8054371
1.1199993,1.7667665
1.1299993,1.7271147
1.1399993,1.686482
1.1499993,1.6448679
1.1599993,1.602274
1.1699992,1.5586982
1.1799992,1.5141411
1.1899992,1.4686031
1.1999992,1.4220853
1.2099992,1.3745852
1.2199992,1.3261037
1.2299992,1.2766428
1.2399992,1.2261996
1.2499992,1.1747766
1.2599992,1.1223717
1.2699991,1.0689859
1.2799991,1.0146189
1.2899991,0.95927143
1.2999991,0.90294266
1.3099991,0.8456335
1.3199991,0.7873421
1.3299991,0.72807026
1.3399991,0.66781807
1.3499991,0.60658455
1.3599991,0.54437065
1.369999,0.48117352
1.379999,0.4169979
1.389999,0.35184002
1.399999,0.28570175
1.409999,0.2185812
1.419999,0.15048027
1.429999,0.081398964
1.439999,0.011336327
1.449999,-0.059706688
