X,Y
0.0,0.0
0.01,0.2823272
0.02,0.56362337
0.03,0.8438886
0.04,1.1231228
0.049999997,1.401326
0.059999995,1.6784981
0.06999999,1.9546393
0.07999999,2.2297492
0.08999999,2.5038285
0.09999999,2.7768767
0.109999985,3.048894
0.11999998,3.31988
0.12999998,3.5898352
0.13999999,3.8587596
0.14999999,4.126653
0.16,4.393515
0.17,4.6593466
0.18,4.9241467
0.19000001,5.187916
0.20000002,5.4506545
0.21000002,5.712362
0.22000003,5.973038
0.23000003,6.2326837
0.24000004,6.491298
0.25000003,6.748881
0.26000002,7.0054326
0.27,7.2609534
0.28,7.515444
0.29,7.768903
0.29999998,8.021331
0.30999997,8.272727
0.31999996,8.523093
0.32999995,8.772429
0.33999994,9.020733
0.34999993,9.268005
0.35999992,9.514247
0.36999992,9.759459
0.3799999,10.003638
0.3899999,10.246788
0.3999999,10.488905
0.40999988,10.729994
0.41999987,10.97005
0.42999986,11.209075
0.43999985,11.447068
0.44999984,11.684031
0.45999983,11.919963
0.46999982,12.154864
0.4799998,12.388735
0.4899998,12.6215725
0.4999998,12.853381
0.5099998,13.084158
0.5199998,13.313904
0.5299998,13.542619
0.5399998,13.770303
0.5499998,13.996956
0.55999976,14.222578
0.56999975,14.447167
0.57999974,14.670729
0.58999974,14.893258
0.5999997,15.114756
0.6099997,15.335223
0.6199997,15.55466
0.6299997,15.773065
0.6399997,15.990438
0.6499997,16.20678
0.65999967,16.422092
0.66999966,16.636374
0.67999965,16.849623
0.68999964,17.061844
0.69999963,17.273031
0.7099996,17.483189
0.7199996,17.692314
0.7299996,17.90041
0.7399996,18.107473
0.7499996,18.313505
0.7599996,18.518509
0.76999956,18.72248
0.77999955,18.925419
0.78999954,19.127329
0.79999954,19.328207
0.8099995,19.528057
0.8199995,19.72687
0.8299995,19.924656
0.8399995,20.12141
0.8499995,20.317135
0.8599995,20.511824
0.86999947,20.705486
0.87999946,20.898115
0.88999945,21.089716
0.89999944,21.280283
0.90999943,21.46982
0.9199994,21.658327
0.9299994,21.845802
0.9399994,22.032244
0.9499994,22.217659
0.9599994,22.402039
0.9699994,22.585394
0.97999936,22.767712
0.98999935,22.949001
0.99999934,23.12926
1.0099994,23.308487
1.0199994,23.486685
1.0299994,23.663847
1.0399994,23.839983
1.0499994,24.015083
1.0599993,24.18916
1.0699993,24.362198
1.0799993,24.534208
1.0899993,24.705189
1.0999993,24.875135
1.1099993,25.04405
1.1199993,25.211939
1.1299993,25.378792
1.1399993,25.544619
1.1499993,25.709412
1.1599993,25.873177
1.1699992,26.035906
1.1799992,26.197607
1.1899992,26.358274
1.1999992,26.517916
1.2099992,26.676521
1.2199992,26.834095
1.2299992,26.99064
1.2399992,27.146154
1.2499992,27.300634
1.2599992,27.45409
1.2699991,27.606508
1.2799991,27.7579
1.2899991,27.908258
1.2999991,28.057589
1.3099991,28.205885
1.3199991,28.353151
1.3299991,28.499386
1.3399991,28.64459
1.3499991,28.788765
1.3599991,28.93191
1.369999,29.074017
1.379999,29.215101
1.389999,29.355148
1.399999,29.494167
1.409999,29.632153
1.419999,29.769108
1.429999,29.905035
1.439999,30.039927
1.449999,30.17379
1.459999,30.306623
1.469999,30.438421
1.479999,30.569195
1.4899989,30.69893
1.4999989,30.827642
1.5099989,30.955317
1.5199989,31.081966
1.5299989,31.20758
1.5399989,31.332165
1.5499989,31.455719
1.5599989,31.578243
1.5699989,31.699732
1.5799989,31.820194
1.5899988,31.939623
1.5999988,32.05802
1.6099988,32.175385
1.6199988,32.291725
1.6299988,32.40703
1.6399988,32.521305
1.6499988,32.63455
1.6599988,32.746754
1.6699988,32.857937
1.6799988,32.968086
1.6899987,33.077213
1.6999987,33.18529
1.7099987,33.29235
1.7199987,33.39838
1.7299987,33.50338
1.7399987,33.607338
1.7499987,33.71027
1.7599987,33.81218
1.7699987,33.913048
1.7799987,34.012886
1.7899987,34.111694
1.7999986,34.209473
1.8099986,34.30622
1.8199986,34.401936
1.8299986,34.49662
1.8399986,34.59028
1.8499986,34.6829
1.8599986,34.774487
1.8699986,34.86505
1.8799986,34.954582
1.8899986,35.043087
1.8999985,35.130547
1.9099985,35.216988
1.9199985,35.302395
1.9299985,35.386772
1.9399985,35.47011
1.9499985,35.55243
1.9599985,35.63371
1.9699985,35.713963
1.9799985,35.79318
1.9899985,35.871372
1.9999985,35.948524
2.0099986,36.024654
2.0199986,36.09975
2.0299985,36.17382
2.0399985,36.246857
2.0499985,36.31885
2.0599985,36.38983
2.0699985,36.459774
2.0799985,36.52868
2.0899985,36.59656
2.0999985,36.66341
2.1099985,36.729225
2.1199985,36.79401
2.1299984,36.857765
2.1399984,36.92049
2.1499984,36.982185
2.1599984,37.042847
2.1699984,37.102474
2.1799984,37.161076
2.1899984,37.218647
2.1999984,37.27519
2.2099984,37.33069
2.2199984,37.38517
2.2299984,37.438614
2.2399983,37.491024
2.2499983,37.54241
2.2599983,37.59277
2.2699983,37.642082
2.2799983,37.690376
2.2899983,37.73763
2.2999983,37.783863
2.3099983,37.829063
2.3199983,37.873222
2.3299983,37.91636
2.3399982,37.958466
2.3499982,37.999542
2.3599982,38.039585
2.3699982,38.07859
2.3799982,38.11657
2.3899982,38.153526
2.3999982,38.189438
2.4099982,38.22433
2.4199982,38.258186
2.4299982,38.29101
2.4399981,38.322815
2.4499981,38.35357
2.4599981,38.3833
2.4699981,38.412006
2.479998,38.43967
2.489998,38.466312
2.499998,38.491924
2.509998,38.5165
2.519998,38.54005
2.529998,38.562557
2.539998,38.58405
2.549998,38.604504
2.559998,38.623917
2.569998,38.642315
2.579998,38.659676
2.589998,38.676003
2.599998,38.6913
2.609998,38.70557
2.619998,38.7188
2.629998,38.731007
2.639998,38.742184
2.649998,38.75232
2.659998,38.761436
2.669998,38.76952
2.679998,38.776573
2.689998,38.78259
2.699998,38.787575
2.709998,38.791534
2.719998,38.794456
2.7299979,38.796356
2.7399979,38.797222
2.7499979,38.79706
2.7599978,38.79586
2.7699978,38.79363
2.7799978,38.790367
2.7899978,38.78608
2.7999978,38.780754
2.8099978,38.774403
2.8199978,38.76702
2.8299978,38.75861
2.8399978,38.749165
2.8499978,38.738686
2.8599977,38.72718
2.8699977,38.71464
2.8799977,38.701065
2.8899977,38.68647
2.8999977,38.670837
2.9099977,38.654175
2.9199977,38.63649
2.9299977,38.617756
2.9399977,38.598003
2.9499977,38.57722
2.9599977,38.555397
2.9699976,38.53255
