0.0,0.0,0.0,0.0
0.01,0.099999994,0.09950949,0.19950949
0.02,0.19999999,0.19803798,0.39803797
0.03,0.29999998,0.29558548,0.59558547
0.04,0.39999998,0.39215198,0.7921519
0.049999997,0.49999997,0.48773748,0.9877374
0.059999995,0.59999996,0.58234197,1.1823419
0.06999999,0.6999999,0.6759654,1.3759654
0.07999999,0.7999999,0.7686079,1.5686078
0.08999999,0.89999986,0.86026937,1.7602692
0.09999999,0.9999999,0.9509499,1.9509498
0.109999985,1.0999999,1.0406494,2.1406493
0.11999998,1.1999998,1.1293678,2.3293676
0.12999998,1.2999998,1.2171054,2.517105
0.13999999,1.3999999,1.3038619,2.7038617
0.14999999,1.4999999,1.3896374,2.8896372
0.16,1.5999999,1.4744319,3.074432
0.17,1.7,1.5582455,3.2582455
0.18,1.8000001,1.641078,3.4410782
0.19000001,1.9000001,1.7229296,3.6229296
0.20000002,2.0000002,1.8038002,3.8038003
0.21000002,2.1000001,1.8836896,3.9836898
0.22000003,2.2000003,1.9625982,4.1625986
0.23000003,2.3000004,2.040526,4.340526
0.24000004,2.4000003,2.1174722,4.5174727
0.25000003,2.5000002,2.1934376,4.693438
0.26000002,2.6000001,2.2684221,4.868422
0.27,2.7,2.3424256,5.0424256
0.28,2.8,2.415448,5.215448
0.29,2.8999999,2.4874892,5.3874893
0.29999998,2.9999998,2.55855,5.5585494
0.30999997,3.0999997,2.6286292,5.728629
0.31999996,3.1999996,2.6977277,5.897727
0.32999995,3.2999995,2.765845,6.0658445
0.33999994,3.3999994,2.8329816,6.2329807
0.34999993,3.4999993,2.899137,6.399136
0.35999992,3.5999992,2.9643114,6.5643106
0.36999992,3.699999,3.0285048,6.728504
0.3799999,3.799999,3.0917172,6.8917165
0.3899999,3.899999,3.1539488,7.0539474
0.3999999,3.9999988,3.2151992,7.215198
0.40999988,4.099999,3.2754688,7.375468
0.41999987,4.199999,3.3347573,7.534756
0.42999986,4.2999988,3.3930647,7.6930637
0.43999985,4.3999987,3.4503913,7.85039
0.44999984,4.4999986,3.5067368,8.006735
0.45999983,4.5999985,3.5621014,8.1621
0.46999982,4.6999984,3.6164846,8.3164835
0.4799998,4.7999983,3.669887,8.469885
0.4899998,4.899998,3.7223086,8.622307
0.4999998,4.999998,3.7737489,8.773747
0.5099998,5.099998,3.8242083,8.924207
0.5199998,5.199998,3.8736868,9.073685
0.5299998,5.299998,3.9221842,9.222182
0.5399998,5.3999977,3.9697008,9.369699
0.5499998,5.4999976,4.0162363,9.516233
0.55999976,5.5999975,4.0617905,9.661788
0.56999975,5.6999974,4.1063643,9.806362
0.57999974,5.7999973,4.1499567,9.949954
0.58999974,5.899997,4.1925683,10.092566
0.5999997,5.999997,4.2341986,10.234196
0.6099997,6.099997,4.274848,10.3748455
0.6199997,6.199997,4.3145165,10.514514
0.6299997,6.299997,4.3532043,10.653201
0.6399997,6.3999968,4.3909106,10.790907
0.6499997,6.4999967,4.427636,10.927633
0.65999967,6.5999966,4.463381,11.063377
0.66999966,6.6999965,4.498144,11.198141
0.67999965,6.7999964,4.5319266,11.331923
0.68999964,6.8999963,4.5647283,11.464725
0.69999963,6.999996,4.5965486,11.596544
0.7099996,7.099996,4.627388,11.727385
0.7199996,7.199996,4.6572466,11.857243
0.7299996,7.299996,4.686124,11.98612
0.7399996,7.399996,4.7140207,12.114017
0.7499996,7.4999957,4.7409363,12.2409315
0.7599996,7.5999956,4.7668705,12.366866
0.76999956,7.6999955,4.7918243,12.491819
0.77999955,7.7999954,4.815797,12.615792
0.78999954,7.8999953,4.838788,12.738784
0.79999954,7.999995,4.860799,12.860794
0.8099995,8.099996,4.881829,12.981825
0.8199995,8.199995,4.901877,13.1018715
0.8299995,8.299995,4.9209447,13.22094
0.8399995,8.399995,4.9390306,13.3390255
0.8499995,8.499995,4.9561367,13.456132
0.8599995,8.599995,4.972261,13.572256
0.86999947,8.699995,4.987405,13.6874
0.87999946,8.799994,5.001567,13.801561
0.88999945,8.899995,5.014749,13.914743
0.89999944,8.999994,5.026949,14.026943
0.90999943,9.099995,5.0381694,14.1381645
0.9199994,9.199994,5.048407,14.248402
0.9299994,9.299994,5.057665,14.357659
0.9399994,9.399994,5.0659413,14.465935
0.9499994,9.499994,5.0732374,14.573232
0.9599994,9.599994,5.0795517,14.679545
0.9699994,9.699994,5.084885,14.78488
0.97999936,9.7999935,5.089237,14.889231
0.98999935,9.899994,5.0926094,14.992603
0.99999934,9.999993,5.095,15.094994
1.0099994,10.099994,5.096409,15.196403
1.0199994,10.199994,5.096838,15.296832
1.0299994,10.2999935,5.096285,15.396278
1.0399994,10.399994,5.094752,15.494745
1.0499994,10.499993,5.092237,15.59223
1.0599993,10.599994,5.0887423,15.688736
1.0699993,10.699993,5.0842657,15.784259
1.0799993,10.7999935,5.0788083,15.878801
1.0899993,10.899993,5.0723696,15.9723625
1.0999993,10.999993,5.0649505,16.064943
1.1099993,11.099993,5.0565495,16.156542
1.1199993,11.199993,5.0471687,16.247162
1.1299993,11.299993,5.0368056,16.336798
1.1399993,11.399993,5.0254626,16.425455
1.1499993,11.499992,5.013138,16.51313
1.1599993,11.599993,4.999833,16.599827
1.1699992,11.699992,4.9855466,16.68554
1.1799992,11.799993,4.9702787,16.770271
1.1899992,11.899992,4.95403,16.854023
1.1999992,11.999992,4.9368014,16.936794
1.2099992,12.099992,4.9185905,17.018581
1.2199992,12.199992,4.8993993,17.099392
1.2299992,12.299992,4.8792267,17.179218
1.2399992,12.399992,4.8580737,17.258066
